"#","Name of Job","Cylinder Given To","Check Out Date","Check In Date","Options"
"24","AASHIRWAD COLLECTION 12*15+4 BOX","JINDAL CYCLINDER","19 Dec, 2025","N/A",""
"25","POINTER JEANS 19*14 LOOP","KATYANI CYCLINDER","19 Dec, 2025","N/A",""
"26","TERRI BERRI 14*18 LOOP","KATYANI CYCLINDER","19 Dec, 2025","N/A",""
"27","FRONTIER BAZARR 17.5*16.7+5.5 BOX","JINDAL CYCLINDER","06 Dec, 2025","N/A",""
"28","SHRIMAN SHRIMATI 17*15+6 BOX","JINDAL CYCLINDER","06 Dec, 2025","N/A",""
"29","BOBBY DIGITAL 9*11+4 BOX","JINDAL CYCLINDER","06 Dec, 2025","N/A",""
"30","TEACHER LADIES WOOLLEN 16*13+5.5 BOX","JINDAL CYCLINDER","06 Dec, 2025","N/A",""
"31","PEHNAWA 11*13+4 BOX","JINDAL CYCLINDER","06 Dec, 2025","N/A",""
"32","HIRA READYMADE STORE 14*18 LOOP","JINDAL CYCLINDER","20 Nov, 2025","02 Dec, 2025",""
"33","INDIA CLOTH HOUSE 16*16.7+5.5 BOX","KATYANI CYCLINDER","20 Nov, 2025","N/A",""
"34","MY STORE 16*18 LOOP","JINDAL CYCLINDER","20 Nov, 2025","N/A",""
"35","JKD MALL 16*16.5+5.5 BOX","JINDAL CYCLINDER","20 Nov, 2025","N/A",""
"36","JKD MALL 15*17 LOOP","JINDAL CYCLINDER","20 Nov, 2025","N/A",""
"37","NOOR CHAKRA EMPORIUM 17.5*14.5+5 BOX","JINDAL CYCLINDER","15 Nov, 2025","N/A",""
"38","NOOR CHAKRA EMPORIUM 16*18 LOOP","KATYANI CYCLINDER","15 Nov, 2025","N/A",""
"39","PLAY ZO 12*14 LOOP","KATYANI CYCLINDER","15 Nov, 2025","N/A",""
"40","JAGGI DI HATTI 16*16.7+5.5 BOX","KATYANI CYCLINDER","15 Nov, 2025","N/A",""
"41","LAIQA 11*13.5+4 BOX","KATYANI CYCLINDER","11 Nov, 2025","N/A",""
"42","SILK MANDIR 12*16 LOOP","KATYANI CYCLINDER","11 Nov, 2025","N/A",""
"43","ANUROOP 15*19 D-CUT","KATYANI CYCLINDER","11 Nov, 2025","N/A",""
"44","SILK MANDIR 14*16.7+5.5 BOX","KATYANI CYCLINDER","11 Nov, 2025","N/A",""
"45","SILK MANDIR 14*18 LOOP","KATYANI CYCLINDER","11 Nov, 2025","N/A",""
"46","BLOOMA WEDDING 16*16.7+5.5 BOX","KATYANI CYCLINDER","11 Nov, 2025","N/A",""
"47","BLOOMA WEDDING 14*13+4.5 BOX","KATYANI CYCLINDER","11 Nov, 2025","N/A",""
"48","LUX CHAMPION COMFORT (LUX AMORA) 11*13.5*4 BOX","KATYANI CYCLINDER","07 Nov, 2025","N/A",""
"49","SEGA 12*14+4 BOX","KATYANI CYCLINDER","07 Nov, 2025","N/A",""
"50","11*14 D-CUT SHOPPING CARRY BAG","SUNDI","06 Nov, 2025","06 Nov, 2025",""
"51","PHIRNI 13*10.5+9 BOX","KATYANI CYCLINDER","03 Nov, 2025","N/A",""
"52","PHIRNI 13*7.5+9 BOX","KATYANI CYCLINDER","03 Nov, 2025","N/A",""
"53","MONTU FASHION WORLD 11.5*13.5+4 BOX","KATYANI CYCLINDER","31 Oct, 2025","08 Nov, 2025",""
"54","MONTU FASHION WORLD 16*16.7+5.5 BOX","KATYANI CYCLINDER","31 Oct, 2025","N/A",""
"55","ANAND PALACE 16*16.7+5.5 BOX","JINDAL CYCLINDER","31 Oct, 2025","06 Nov, 2025",""
"56","ANAND PALACE 16*17 LOOP","JINDAL CYCLINDER","31 Oct, 2025","N/A",""
"57","MALAPPURAM 14*13+5 BOX","JINDAL CYCLINDER","30 Oct, 2025","06 Nov, 2025",""
"58","VIPIN SAREES 16*16.5+5.5 BOX","JINDAL CYCLINDER","29 Oct, 2025","06 Nov, 2025",""
"59","BEDI WORLD FASHION 11.5*13.5+4 BOX","KATYANI CYCLINDER","28 Oct, 2025","10 Nov, 2025",""
"60","BEDI WORLD FASHION 12.5*16.7+5.5 BOX","KATYANI CYCLINDER","28 Oct, 2025","11 Nov, 2025",""
"61","RAGHAV TEXTILES 13.5*16 LOOP","JINDAL CYCLINDER","28 Oct, 2025","06 Nov, 2025",""
"62","RINKU 14*18 LOOP","JINDAL CYCLINDER","28 Oct, 2025","06 Nov, 2025",""
"63","SAJNI SAREES 16*18 LOOP","KATYANI CYCLINDER","25 Oct, 2025","07 Nov, 2025",""
"64","SHAHI POSHAK 16*13+5 BOX","KATYANI CYCLINDER","25 Oct, 2025","31 Oct, 2025",""
"65","PRIDHAN SAREE COLLECTION 14*16.7+5.5 BOX","JINDAL CYCLINDER","24 Oct, 2025","06 Nov, 2025",""
"66","VADHU WEDDING PLAZA 16*20 LOOP","JINDAL CYCLINDER","24 Oct, 2025","06 Nov, 2025",""
"67","REX ( SAHEB SAHEBA ) 11*13+4 BOX","KATYANI CYCLINDER","13 Oct, 2025","24 Oct, 2025",""
"68","DEOL GIRLS & KIDS CLOTHING 11*13+4 BOX","KATYANI CYCLINDER","13 Oct, 2025","28 Oct, 2025",""
"69","DEOL GIRLS & KIDS CLOTHING 14*14+5 BOX","KATYANI CYCLINDER","13 Oct, 2025","28 Oct, 2025",""
"70","KAPIL GENERAL STORE 12*17+6 BOX","JINDAL CYCLINDER","11 Oct, 2025","24 Oct, 2025",""
"71","PRAKASH VASTRAM 15.5*17.5 LOOP","JINDAL CYCLINDER","11 Oct, 2025","24 Oct, 2025",""
"72","GUJRAT SUIT & SAREES 16*20","KATYANI CYCLINDER","10 Oct, 2025","24 Oct, 2025",""
"73","SHOPPLERS (CHIC MODA) 12.5*15+4 BOX","JINDAL CYCLINDER","06 Oct, 2025","24 Oct, 2025",""
"74","GLOBAL RESEARCH GROUP OF INSTITUES 9.5*13.5+4 BOX","JINDAL CYCLINDER","04 Oct, 2025","24 Oct, 2025",""
"75","MAX LONDON 16*13+4 BOX","KATYANI CYCLINDER","01 Oct, 2025","16 Oct, 2025",""
"76","SHRI GOVERDHAN 16*20 LOOP","KATYANI CYCLINDER","01 Oct, 2025","15 Oct, 2025",""
"77","SS VOILES PAGRI CENTER 14*18 LOOP","KATYANI CYCLINDER","01 Oct, 2025","23 Oct, 2025",""
"78","FASHION HUB 16*18 LOOP","KATYANI CYCLINDER","01 Oct, 2025","17 Oct, 2025",""
"79","RAUNAK 15*17+5 BOX","JINDAL CYCLINDER","30 Sep, 2025","30 Oct, 2025",""
"80","VISMAYA SILKS 16*20 LOOP","JINDAL CYCLINDER","30 Sep, 2025","11 Oct, 2025",""
"81","PREM SAREE EMPORIUM 13*16+4 BOX","JINDAL CYCLINDER","25 Sep, 2025","11 Oct, 2025",""
"82","BASMATI INDIAN CUISINE 10*13+5 BOX","JINDAL CYCLINDER","25 Sep, 2025","01 Oct, 2025",""
"83","...","KATYANI CYCLINDER","24 Sep, 2025","N/A",""
"84","NAVEEN SAREE EMPORIUM 14*18 LOOP","KATYANI CYCLINDER","23 Sep, 2025","11 Oct, 2025",""
"85","ALL WELL TRENZ 16*18 LOOP","KATYANI CYCLINDER","23 Sep, 2025","11 Oct, 2025",""
"86","GULLU EXCLUSIVE 15.5*19 LOOP","KATYANI CYCLINDER","23 Sep, 2025","11 Oct, 2025",""
"87","BEDI FASHION SHOPPEE 14*17+5.5 BOX","KATYANI CYCLINDER","23 Sep, 2025","08 Oct, 2025",""
"88","BHATIA FASHION 13.5*13.5+5.5 BOX","KATYANI CYCLINDER","23 Sep, 2025","03 Oct, 2025",""
"89","BHATIA FASHION 18.1*13.8+4.5 BOX","KATYANI CYCLINDER","23 Sep, 2025","03 Oct, 2025",""
"90","BHATIA FASHION 9*11+4 BOX","KATYANI CYCLINDER","23 Sep, 2025","03 Oct, 2025",""
"91","MEN'S FACTORY 16*20 LOOP","KATYANI CYCLINDER","20 Sep, 2025","03 Oct, 2025",""
"92","SIGNATURE 16*12 LOOP","KATYANI CYCLINDER","20 Sep, 2025","03 Oct, 2025",""
"93","SIGNATURE 20*20 LOOP","KATYANI CYCLINDER","20 Sep, 2025","03 Oct, 2025",""
"94","THE BADAM FACTORY 9*11+4 BOX","JINDAL CYCLINDER","19 Sep, 2025","08 Oct, 2025",""
"95","THE BADAM FACTORY 16*13+5 BOX","JINDAL CYCLINDER","19 Sep, 2025","04 Oct, 2025",""
"96","SHANKAR GARMENTS / FABRICS 12*15+4 BOX","JINDAL CYCLINDER","18 Sep, 2025","07 Oct, 2025",""
"97","DRY FRUITS 14*18 LOOP","JINDAL CYCLINDER","18 Sep, 2025","30 Sep, 2025",""
"98","PAMPARA 16*20 LOOP (METAL JOB)","JINDAL CYCLINDER","18 Sep, 2025","30 Sep, 2025",""
"99","THE ODHANI 16*13+5 BOX","JINDAL CYCLINDER","16 Sep, 2025","N/A",""
"100","SL(SNEAKER LOUNGE)/HNY(HISTORY OF NEW YORK) 13*16+7 BOX","KATYANI CYCLINDER","16 Sep, 2025","25 Sep, 2025",""
"101","BOOST MOBILE 10*11.5+5 BOX","KATYANI CYCLINDER","16 Sep, 2025","01 Oct, 2025",""
"102","THE URBANA LODGE (THE CLARKS LODGE) 13*16+7 BOX","KATYANI CYCLINDER","16 Sep, 2025","25 Sep, 2025",""
"103","DEV'S PARMINDERA SWEETS 12.5*7.5+8 BOX","JINDAL CYCLINDER","15 Sep, 2025","26 Sep, 2025",""
"104","OOSHIN GLITBERG 14.5*11.5+5 BOX","KATYANI CYCLINDER","15 Sep, 2025","08 Oct, 2025",""
"105","DRY FRUITS 14*18 LOOP","JINDAL CYCLINDER","15 Sep, 2025","27 Sep, 2025",""
"106","GOBIND SWEETS 11*14 D-CUT","JINDAL CYCLINDER","15 Sep, 2025","08 Oct, 2025",""
"107","THE LUNCH BOX 10*13+8 BOX","KATYANI CYCLINDER","15 Sep, 2025","01 Oct, 2025",""
"108","THE LUNCH BOX 13*16+8 BOX","KATYANI CYCLINDER","15 Sep, 2025","25 Sep, 2025",""
"109","MIRCHI DHABA 13*16+7 BOX","KATYANI CYCLINDER","15 Sep, 2025","25 Sep, 2025",""
"110","OSWAL FABRICS PVT. LTD. 16*20 LOOP","JINDAL CYCLINDER","15 Sep, 2025","01 Oct, 2025",""
"111","RAGHAV TEXTILES 15*18 LOOP","JINDAL CYCLINDER","15 Sep, 2025","30 Sep, 2025",""
"112","MELINI COMFORT WEAR 13*16.5+5.5 BOX","JINDAL CYCLINDER","15 Sep, 2025","29 Sep, 2025",""
"113","LADYO 12*14 LOOP","KATYANI CYCLINDER","10 Sep, 2025","08 Oct, 2025",""
"114","SPICTEX 15*13*4 BOX","KATYANI CYCLINDER","09 Sep, 2025","22 Sep, 2025",""
"115","SAREE CENTER 15*18 LOOP","JINDAL CYCLINDER","06 Sep, 2025","27 Sep, 2025",""
"116","VIVERS (CHIC MODA) 12.5*15+4 BOX","JINDAL CYCLINDER","05 Sep, 2025","22 Sep, 2025",""
"117","CHAWLA (SINCE 1957) 15*17 LOOP","JINDAL CYCLINDER","05 Sep, 2025","20 Sep, 2025",""
"118","PREM SAREE EMPORIUM 11*14+4 BOX","JINDAL CYCLINDER","04 Sep, 2025","19 Sep, 2025",""
"119","VIKAS FAMILY SHOP 16*16.7+5.5 BOX","JINDAL CYCLINDER","04 Sep, 2025","22 Sep, 2025",""
"120","NILAV TEXTILES & READYMADE ( MALAYALAM ) 14*16 LOOP","JINDAL CYCLINDER","04 Sep, 2025","22 Sep, 2025",""
"121","GULLU EXCLUSIVE 16*16.5*5.5 BOX","JINDAL CYCLINDER","03 Sep, 2025","22 Sep, 2025",""
"122","SIFTOZ 16*18 LOOP","JINDAL CYCLINDER","03 Sep, 2025","07 Nov, 2025",""
"123","SIFTOZ 12*16 LOOP","JINDAL CYCLINDER","03 Sep, 2025","22 Sep, 2025",""
"124","SPICTEX 12*14 LOOP","JINDAL CYCLINDER","03 Sep, 2025","22 Sep, 2025",""
"125","ETHOS 15.5*12.5+5.5 BOX","JINDAL CYCLINDER","03 Sep, 2025","18 Sep, 2025",""
"126","WONETEN 11.5*14+4 BOX","KATYANI CYCLINDER","03 Sep, 2025","22 Sep, 2025",""
"127","CHAMBER WOOLEN 14*18 LOOP","KATYANI CYCLINDER","03 Sep, 2025","16 Sep, 2025",""
"128","CHAMBER WOOLEN 16*16.7+5.5 BOX","KATYANI CYCLINDER","03 Sep, 2025","22 Sep, 2025",""
"129","JAIN SWEETS 15*9+9 BOX","JINDAL CYCLINDER","03 Sep, 2025","22 Sep, 2025",""
"130","JAIN WAYS(ANDAAZ) 13*16+4 BOX","JINDAL CYCLINDER","03 Sep, 2025","19 Sep, 2025",""
"131","MALHOTRA 16*16.5+5.5 BOX","KATYANI CYCLINDER","03 Sep, 2025","16 Sep, 2025",""
"132","MANOCHA 13*16.5+5.5 BOX","KATYANI CYCLINDER","03 Sep, 2025","16 Sep, 2025",""
"133","MALHOTRA 16*18 LOOP","KATYANI CYCLINDER","03 Sep, 2025","22 Sep, 2025",""
"134","PONNER 14*16 LOOP","KATYANI CYCLINDER","03 Sep, 2025","11 Sep, 2025",""
"135","WONETEN 15*13+4 BOX","KATYANI CYCLINDER","03 Sep, 2025","22 Sep, 2025",""
"136","RAY'S 12*14.4+4 BOX","KATYANI CYCLINDER","03 Sep, 2025","11 Sep, 2025",""
"137","THE BADAM FACTORY 11.5*13.5+4 BOX","JINDAL CYCLINDER","28 Aug, 2025","08 Sep, 2025",""
"138","JONES SINCE (1988) 15*17+5 BOX","KATYANI CYCLINDER","28 Aug, 2025","10 Sep, 2025",""
"139","KUKREJA'S 13*16.5+5.5 BOX","KATYANI CYCLINDER","28 Aug, 2025","16 Sep, 2025",""
"140","GOVERDHAN LAL RASTOGI 12*16 LOOP","KATYANI CYCLINDER","28 Aug, 2025","11 Sep, 2025",""
"141","KAMAL THREAD (METAL BAG) 16.5*14+5 BOX","KATYANI CYCLINDER","28 Aug, 2025","08 Sep, 2025",""
"142","LIFE STYLE COLLECTIONS 13*13+4 BOX","JINDAL CYCLINDER","28 Aug, 2025","10 Sep, 2025",""
"143","FIRST CHOICE COLLECTION 14*14+5 BOX","KATYANI CYCLINDER","28 Aug, 2025","08 Sep, 2025",""
"144","MIRJEE 16*18 LOOP","KATYANI CYCLINDER","23 Aug, 2025","11 Sep, 2025",""
"145","DIGITAL HUB 19*17*5.5 BOX","KATYANI CYCLINDER","23 Aug, 2025","30 Aug, 2025",""
"146","BATRA PLAZA 14*18 LOOP (METAL BAG)","KATYANI CYCLINDER","23 Aug, 2025","03 Sep, 2025",""
"147","RANI BAGAN 13*16 LOOP","JINDAL CYCLINDER","22 Aug, 2025","08 Sep, 2025",""
"148","ROOPKALA 16*13.5+5 BOX","JINDAL CYCLINDER","22 Aug, 2025","10 Sep, 2025",""
"149","MAYON 15*12+4 BOX","KATYANI CYCLINDER","22 Aug, 2025","16 Sep, 2025",""
"150","ANEJA SONS 12*16 LOOP","KATYANI CYCLINDER","22 Aug, 2025","16 Sep, 2025",""
"151","SHIV VASTRALAYA 16*20 LOOP","JINDAL CYCLINDER","13 Aug, 2025","27 Aug, 2025",""
"152","MANOCHA 16*20 LOOP","JINDAL CYCLINDER","08 Aug, 2025","21 Aug, 2025",""
"153","CHAWLA SHOE PALACE 21*19 LOOP","JINDAL CYCLINDER","08 Aug, 2025","21 Aug, 2025",""
"154","AMRITTEX (OVELLA) 16*20 LOOP","JINDAL CYCLINDER","08 Aug, 2025","21 Aug, 2025",""
"155","DALMIA ETHNICS 15*16.8*4.5 BOX","JINDAL CYCLINDER","06 Aug, 2025","21 Aug, 2025",""
"156","SINGH DRESSES 15*16.7*7 BOX","KATYANI CYCLINDER","06 Aug, 2025","31 Aug, 2025",""
"157","RANGOLI FASHION 14*18 LOOP","KATYANI CYCLINDER","06 Aug, 2025","21 Aug, 2025",""
"158","RANGOLI FASHION 17*20 LOOP","KATYANI CYCLINDER","06 Aug, 2025","21 Aug, 2025",""
"159","HAQIQAT SWEETS 14*7.5*9 BOX","KATYANI CYCLINDER","06 Aug, 2025","29 Aug, 2025",""
"160","GANPATI ASHU (RAYMOND) 12*15.7*4 BOX","KATYANI CYCLINDER","06 Aug, 2025","21 Aug, 2025",""
"161","SAINI GENERAL STORE 14*16 LOOP","JINDAL CYCLINDER","06 Aug, 2025","21 Aug, 2025",""
"162","OM GARMENTS 16*18 LOOP","JINDAL CYCLINDER","06 Aug, 2025","21 Aug, 2025",""
"163","PARIS FASHION 11.5*15.5*4.4 BOX","JINDAL CYCLINDER","06 Aug, 2025","21 Aug, 2025",""
"164","SAINI GENERAL STORE 16*20 LOOP","JINDAL CYCLINDER","06 Aug, 2025","21 Aug, 2025",""
"165","SANDEEP TEXTILES 16*13.5*5.5 BOX","JINDAL CYCLINDER","06 Aug, 2025","21 Aug, 2025",""
"166","PRINCE TRADING COMPANY 16*18 LOOP","JINDAL CYCLINDER","06 Aug, 2025","21 Aug, 2025",""
"167","ACKROSS ( RAYMOND ) 16*16.7*5.5 BOX","JINDAL CYCLINDER","28 Jul, 2025","01 Aug, 2025",""
"168","SITARA TEXTILES 14*18 LOOP","JINDAL CYCLINDER","26 Jul, 2025","07 Aug, 2025",""
"169","ADI DHAKESWARI PVT. LTD. 15*17 LOOP","JINDAL CYCLINDER","23 Jul, 2025","07 Aug, 2025",""
"170","AVI'S COLLECTION 19*15 LOOP","KATYANI CYCLINDER","23 Jul, 2025","07 Aug, 2025",""
"171","STADO 16*18 LOOP","JINDAL CYCLINDER","21 Jul, 2025","22 Jul, 2025",""
"172","DAIKROS UNSTOPPABLE YOU 15*17 LOOP","ROYAL CYCLINDERS","21 Jul, 2025","22 Jul, 2025",""
"173","AJIT MILLS 21*17.5 LOOP","ROYAL CYCLINDERS","21 Jul, 2025","22 Jul, 2025",""
"174","CLASSIC COLLECTION 13*15.7*4 BOX","JINDAL CYCLINDER","21 Jul, 2025","28 Jul, 2025",""
"175","RADHA MOHAN & GRAND SON'S 16*20 LOOP","ROYAL CYCLINDERS","21 Jul, 2025","22 Jul, 2025",""
"176","RADHA MOHAN & GRAND SON'S 15*13*6 BOX","ROYAL CYCLINDERS","21 Jul, 2025","31 Jul, 2025",""
"177","DRUG HOUSE 10*11*6 BOX","JINDAL CYCLINDER","21 Jul, 2025","29 Aug, 2025",""
"178","LOVELY GARMENTS 16*16.7*5.5 BOX","JINDAL CYCLINDER","21 Jul, 2025","07 Aug, 2025",""
"179","TANT PALACE 16*20 LOOP","ROYAL CYCLINDERS","21 Jul, 2025","30 Jul, 2025",""
"180","SAHIBA 14*18 LOOP","KATYANI CYCLINDER","21 Jul, 2025","31 Jul, 2025",""
"181","GOURAV CREATION 16*17 LOOP","JINDAL CYCLINDER","21 Jul, 2025","28 Jul, 2025",""
"182","AHUJAS' 13*7.5+9 BOX","JINDAL CYCLINDER","21 Jul, 2025","07 Aug, 2025",""
"183","AHUJAS' 13*10.5+9 BOX","KATYANI CYCLINDER","21 Jul, 2025","06 Aug, 2025",""
"184","S.M. MOBILES & ELECTRONICS 9*10+4 BOX","JINDAL CYCLINDER","21 Jul, 2025","07 Aug, 2025",""
"185","KASHHVI TRADING CO. 14*18 LOOP","ROYAL CYCLINDERS","21 Jul, 2025","07 Aug, 2025",""
"186","NAIMIA ISLAMIC STORE 16*20 D-CUT","KATYANI CYCLINDER","10 Jul, 2025","18 Jul, 2025",""
"187","NAIMIA ISLAMIC STORE 12*16 D-CUT","JINDAL CYCLINDER","10 Jul, 2025","21 Jul, 2025",""
"188","NAIMIA ISLAMIC STORE 9*12 D-CUT","ROYAL CYCLINDERS","10 Jul, 2025","18 Jul, 2025",""
"189","NAIMIA ISLAMIC STORE 11*14 D-CUT","ROYAL CYCLINDERS","10 Jul, 2025","18 Jul, 2025",""
"190","FASHION JEWELLERS 13*15+5 BOX","JINDAL CYCLINDER","10 Jul, 2025","18 Jul, 2025",""
"191","ESSDEE 17.5*14.5*5 BOX","JINDAL CYCLINDER","10 Jul, 2025","18 Jul, 2025",""
"192","B-MART / BADA BAZAR'S 14*18 D-CUT","KATYANI CYCLINDER","07 Jul, 2025","10 Jul, 2025",""
"193","CHAWLA SHOES 21*19 LOOP","JINDAL CYCLINDER","07 Jul, 2025","14 Jul, 2025",""
"194","ZIAMA 16*13*4 BOX","KATYANI CYCLINDER","07 Jul, 2025","11 Jul, 2025",""
"195","MATRI JEWELLERY 12*16 LOOP","JINDAL CYCLINDER","07 Jul, 2025","17 Jul, 2025",""
"196","BGF ETHNIC WEAR 20*16 LOOP","KATYANI CYCLINDER","07 Jul, 2025","10 Jul, 2025",""
"197","LEMON ZEST 13*16*7 BOX","KATYANI CYCLINDER","07 Jul, 2025","15 Jul, 2025",""
"198","SINGH'S SWEET & DAIRY 15*9*9 BOX","KATYANI CYCLINDER","07 Jul, 2025","18 Jul, 2025",""
"199","LUX CHAMPION COMFORT 11*13.5*4 BOX","KATYANI CYCLINDER","07 Jul, 2025","19 Jul, 2025",""
"200","E-MARC SINCE 2000 (15.5*20 LOOP)","KATYANI CYCLINDER","07 Jul, 2025","18 Jul, 2025",""
"201","SACHDEVA SONS 16*15*5 BOX","KATYANI CYCLINDER","27 Jun, 2025","01 Jul, 2025",""
"202","BACK TO BACK (B2B) (11.5*13.5*4 BOX)","KATYANI CYCLINDER","27 Jun, 2025","10 Jul, 2025",""
"203","NOT 15*13*4 BOX","KATYANI CYCLINDER","27 Jun, 2025","28 Jun, 2025",""
"204","JONES SINCE 1988 (15*12*6 BOX)","JINDAL CYCLINDER","27 Jun, 2025","30 Jun, 2025",""
"205","CHHABRA GENERAL STORE 12*10*4 BOX","JINDAL CYCLINDER","24 Jun, 2025","26 Jun, 2025",""
"206","COOKIES COLLECTION 11*13*4 BOX","ROYAL CYCLINDERS","24 Jun, 2025","07 Jul, 2025",""
"207","SACHDEVA SWEETS & CAKE HOUSE 9*9*9 BOX","JINDAL CYCLINDER","24 Jun, 2025","01 Jul, 2025",""
"208","GOLDEN LEAF 17*20 LOOP","KATYANI CYCLINDER","24 Jun, 2025","28 Jun, 2025",""
"209","CHAWLA BOOT HOUSE 15*16.5*5.5 BOX","KATYANI CYCLINDER","24 Jun, 2025","30 Jun, 2025",""
"210","CHAWLA BOOT HOUSE 13*18 LOOP","JINDAL CYCLINDER","24 Jun, 2025","01 Jul, 2025",""
"211","CHAWLA BOOT HOUSE 16*18 LOOOP","KATYANI CYCLINDER","24 Jun, 2025","01 Jul, 2025",""
"212","BLUE BUDS / PLUK 12.5*15*4 BOX METAL JOB","KATYANI CYCLINDER","24 Jun, 2025","28 Jun, 2025",""
"213","NOOR MOHD BHAT 14*15*4 BOX","ROYAL CYCLINDERS","24 Jun, 2025","07 Jul, 2025",""
"214","TULSI YOUR SHOE 14*18 D-CUT","KATYANI CYCLINDER","24 Jun, 2025","26 Jun, 2025",""
"215","FAIR PHARMA 12*16 D-CUT","ROYAL CYCLINDERS","24 Jun, 2025","28 Jun, 2025",""
"216","VISHAL KIDS 16*19 LOOP","ROYAL CYCLINDERS","24 Jun, 2025","30 Jun, 2025",""
"217","URBAN CLASSIC 11.5*13.5*4 BOX","ROYAL CYCLINDERS","24 Jun, 2025","05 Jul, 2025",""
"218","URBAN CLASSIC BLACK + GOLDEN 10*14*4 BOX","ROYAL CYCLINDERS","24 Jun, 2025","05 Jul, 2025",""
"219","NEW DESI BOYS 16*13*5 BOX","ROYAL CYCLINDERS","24 Jun, 2025","10 Jul, 2025",""
"220","CHARMS COLLECTION PVT. LTD 12*17*4.5 BOX","ROYAL CYCLINDERS","24 Jun, 2025","26 Jun, 2025",""
"221","HIMACHAL HEART INSTITUE 14*18 LOOP","ROYAL CYCLINDERS","24 Jun, 2025","30 Jun, 2025",""
"222","UNI-FIT 14*15*6 BOX","ROYAL CYCLINDERS","24 Jun, 2025","07 Jul, 2025",""
"223","VISHAL COLLECTION 16*17 LOOP","KATYANI CYCLINDER","23 Jun, 2025","23 Jun, 2025",""
"224","STEP N STYLE 16*16*6 BOX","KATYANI CYCLINDER","23 Jun, 2025","23 Jun, 2025",""
"225","SUNNY GARMENTS 14*18 LOOP","ROYAL CYCLINDERS","11 Jun, 2025","07 Jul, 2025",""
"226","PEHNAWA SAREE 10*11*3.5 BOX","KATYANI CYCLINDER","11 Jun, 2025","23 Jun, 2025",""
"227","ANUPAM VASTRALA SCHOOL UNIFORM 12*15*4 BOX","JINDAL CYCLINDER","11 Jun, 2025","16 Jun, 2025",""
"228","HONEY BEAR 16*13*5 BOX","KATYANI CYCLINDER","11 Jun, 2025","21 Jun, 2025",""
"229","APPLE FASHION 11*13*4 BOX","KATYANI CYCLINDER","11 Jun, 2025","21 Jun, 2025",""
"230","SURINDERA SHOES 16*20*5.5 TWIST BAG","JINDAL CYCLINDER","11 Jun, 2025","23 Jun, 2025",""
"231","BEDI FASHION SHOPPEE 11.5*13.5*5 BOX","KATYANI CYCLINDER","11 Jun, 2025","23 Jun, 2025",""
"232","B-MART FASHION STORE 14*16.5*5.5 BOX","KATYANI CYCLINDER","11 Jun, 2025","23 Jun, 2025",""
"233","ATTIDUDE (VASTRA GHAR) 16*16.7*5.5 BOX","KATYANI CYCLINDER","11 Jun, 2025","16 Jun, 2025",""
